useful_votes,time_diff_days,review_stars,biz_stars,biz_reviews,text_length,num_friends,user_review_count,review_id
0,1107,5,4,507,189,0,1,xrBztnrTr6R4vgVtWylHsA
2,991,4,4,272,632,393,209,x0tdYy8k0tcHDgJ_MfGCQA
12,981,5,4,5216,2339,257,400,nEOSc0A0zzrH5PuzU5X6Hg
0,156,1,3.5,308,354,1,1,PYRRnkhRKZxbwhBBPv3QJg
0,1306,2,4,812,308,0,21,GnBh1RKCMmwj_n7nE7l_FA
0,1537,5,4,81,598,46,12,JD7yoZ90qAdq36JBcSMsyQ
1,988,5,4,2441,1606,0,7,Nc9u-xFshbdy-ixFSEhWHQ
1,900,4,4.5,557,971,10,120,zC_G_6clXCDvGl4KM-GN-A
1,2909,4,3.5,836,520,32,176,ywv2Cgf-Pe8W4ZgBOA_iOA
0,858,5,4.5,55,396,26,20,UWJ5NFyu8kFBIzQ2IhqEUg
0,2502,4,4,59,731,24,791,GT21PQIJpyCJboNPWMG3zA
0,2508,4,3.5,339,969,0,10,RK8DndZW4cNNL8ib6HrbEw
0,124,5,4.5,671,269,0,4,zaOWWS2eezwktSByE4yRjA
0,1599,5,4.5,417,716,1,15,lg_pHEnneqm2jIhFhx6I5w
0,306,2,4,313,805,0,1,cxeocq4fbqh8K5qgBpp4uw
1,2133,5,4.5,201,825,17,325,h14PrLiNf1JC3aXa_SZBMg
1,948,5,3.5,493,354,142,631,W1as2kt4gMeA3eXYnHsiMQ
1,561,5,5,5,547,4,13,NK-OwPXJhPu93lGMI1XA9w
0,2360,4,4,2857,835,26,82,9GK00AOG7k8SOg6gmGlxig
2,618,5,4,567,284,4,379,qbibhRj7QVsxrc6w8-hVIQ
1,393,1,3,96,388,0,2,uf6wIhXgtCTTpwpsfAx0cw
1,474,5,4,130,437,5,29,KNbf1nY5fLOZCStTOY3F3g
0,121,1,3.5,49,99,1,44,_GEWcZAQW-RHo_co6VJEsA
1,536,4,4.5,139,165,10,97,LC2_GfKir3XSUrOxOXZIsg
0,1551,2,3.5,489,139,2,30,js6EQ7hCly4Mf8RpwGYUzg
0,279,5,4.5,75,109,0,2,OwC9FRIzbxpCX3aZJitCEQ
2,1083,5,4.5,50,325,1,1,gRIO-NuV8wLDzzr9LojJPg
3,718,2,3.5,33,1447,36,130,TWVhNYi3RZg9pahQTSERSw
2,2239,2,2.5,217,539,61,220,hJU9R8a2zLVxFGZytal9fw
0,880,1,3.5,2116,5051,0,32,6GcFBkmzavOd9F6CjITjvA
9,259,3,4,5216,1426,55,112,Kx-gX3BI0VoItT8QPU33Zw
0,640,5,4,674,219,0,11,JbSsUR2zShDo-XJW0-_QNA
0,570,4,2.5,454,190,0,1,beAFMUy84FLbekPy8F0Lkg
4,1464,5,3.5,157,2656,16,149,6OvNJLxHdDSF3p0lNClBEw
0,2039,3,4,83,260,0,75,BAdDYpzL0_uIZReHDIoBvA
0,217,2,3,380,1513,0,11,lWGNYmFxTBz5CtrD6hF0gQ
5,1259,4,4,2266,1116,334,300,57QGNDRQx8egyYCO5r_xwA
0,360,5,4.5,1226,112,0,2,C2gO8MEnZLBVEDnch_itQA
2,421,5,4.5,13,519,1,5,CpPcJKXbC5sSydXWEewAbA
1,884,5,5,41,571,1,18,iuGDbBKwaCgNY6n-jg5-NQ
0,166,5,3,110,136,0,3,UZmfUOd4kc-wSbq7S38WUQ
0,3494,5,4,1305,781,0,10,YMy9cH4pDAN0UOk0eZYd9w
3,824,4,4,11,362,167,66,xMMGs2AFjxhnF0vLoPXn1w
0,201,4,3,83,104,1,10,UY32Y5rlU5q-JgZwhwR0ww
3,1952,5,2.5,2286,1316,28,103,#NAME?
1,2101,5,4.5,1027,1682,55,231,m9PSJt0PMV0l91V9zqurnA
0,554,1,5,123,1418,0,3,LuNielJF3ZzHSOGT_BGvyA
4,2441,4,3.5,395,418,170,246,kGFZatGKIsE8K4cP969FcQ
2,1586,4,4,657,1864,4,204,xEgNneoGDjQbSJPxThVGHQ
0,1728,3,3,820,345,5,28,zuO4Oc52TiOZGg2ZEjP6yg
1,360,5,4.5,109,193,15,43,4wp0AVFRBtbu72KK0lvCQQ
3,2787,4,3.5,155,744,63,1395,RLkflLlKr6C6QEbbh_H-6g
0,127,5,4.5,2089,640,11,23,5OtPcfRfk_IYmM9otfrCZg
1,986,5,4,23,482,4,4,xHh0ZzM1Q06TanW55YN4Qg
0,185,4,4,125,278,0,102,VtZ2WZpyXeVcDiXjmTU6vA
1,347,1,4,23,393,1,11,7El6RHfxLPW9tVsnOjDd0g
0,462,1,3.5,71,796,0,1,SJ5E_jTBWlEHPq_PZLomjA
0,288,5,4.5,349,110,0,5,nL-_S-fBjctJL7Sj2kROJw
